lga_name, lga_code
"GANNAWARRA",22250
"WHITEHORSE",26980
"SOUTHERN GRAMPIANS",26260
"MAROONDAH",24410
"WEST WIMMERA",26890
"MANNINGHAM",24210
"TOWONG",26670
"BULOKE",21270
"MILDURA",24780
"CASEY",21610
"COLAC OTWAY",21750
"LODDON",23940
"GLENELG",22410
"MOYNE",25490
"CORANGAMITE",21830
"YARRIAMBIACK",27630
"MORELAND",25250
"HINDMARSH",22980
"HORSHAM",23190
"MELBOURNE",24600
"BAW BAW",20830
"WODONGA",27170
"INDIGO",23350
"BANYULE",20660
"BOROONDARA",21110
"BRIMBANK",21180
"CENTRAL GOLDFIELDS",21670
"DAREBIN",21890
"EAST GIPPSLAND",22110
"FRANKSTON",22170
"GREATER BENDIGO",22620
"GLEN EIRA",22310
"GREATER DANDENONG",22670
"GREATER SHEPPARTON",22830
"HEPBURN",22910
"WYNDHAM",27260
"HUME",23270
"HOBSONS BAY",23110
"KINGSTON",23430
"SURF COAST",26490
"MANSFIELD",24250
"MACEDON RANGES",24130
"STRATHBOGIE",26430
"MARIBYRNONG",24330
"MONASH",24970
"MOUNT ALEXANDER",25430
"NILLUMBIK",25710
"PORT PHILLIP",25900
"STONNINGTON",26350
"SWAN HILL",26610
"SOUTH GIPPSLAND",26170
"QUEENSCLIFFE",26080
"WARRNAMBOOL",26730
"WHITTLESEA",27070
"CAMPASPE",21370
"YARRA",27350
"BAYSIDE",20910
"CARDINIA",21450
"MELTON",24650
"WANGARATTA",26700
"ALPINE",20110
"BENALLA",21010
"WELLINGTON",26810
"MOONEE VALLEY",25060
"LATROBE",23810
"MORNINGTON PENINSULA",25340
"BASS COAST",20740
"MOORABOOL",25150
"GREATER GEELONG",22750
"ARARAT",20260
"NORTHERN GRAMPIANS",25810
"BALLARAT",20570
"GOLDEN PLAINS",22490
"PYRENEES",25990
"MITCHELL",24850
"MURRINDINDI",25620
"KNOX",23670
"YARRA RANGES",27450
"MOIRA",24900
