registered_mental_health, lga_code, total_offences, gaming_machine_losses, perc_at_risk_alcohol, perc_membership_groups, perc_pop_higher_education, perc_persons_overweight_obese
12.22346561,22250,55.86640269,165.8349,13.9,0.7427,0.210084034,0.510165
7.940202938,26980,38.7651288,453.6777,8.8824,0.6763,0.541612359,0.46104
25.04135531,26260,52.07845531,489.0196,16.4002,0.7441,0.295281583,0.592417
9.482661879,24410,55.15088561,831.4869,10.4,0.6331,0.365910499,0.480442
8.712698758,26890,21.52707471,0,12.3842,0.7679,0.231472081,0.614828
5.000419498,24210,28.95383254,686.8253,5.2,0.6626,0.523976132,0.455692
13.87356141,26670,32.38100268,80.8267,11.6352,0.7018,0.256916996,0.567042
9.675583381,21270,48.90253273,0,9.5,0.7807,0.281509917,0.597116
25.08419677,24780,90.25265473,603.4244,15.4,0.662,0.278756385,0.569159
6.575164575,21610,53.36481524,625.3168,10.7357,0.5517,0.269684936,0.536367
14.07430873,21750,56.68469475,446.4532,11.7,0.722,0.260473934,0.508186
14.04250031,23940,46.38405617,0,12.1,0.6973,0.257767549,0.553671
27.20128006,22410,69.076173,418.2733,14,0.6772,0.24191888,0.589984
15.95870907,25490,32.458187,0,13.9,0.6663,0.284036972,0.519018
25.92211945,21830,35.28364737,269.6331,16.4,0.6837,0.258638473,0.548863
13.65904912,27630,37.10395324,0,11.1,0.7345,0.242550656,0.580476
12.51011018,25250,69.51733184,577.43,5.6,0.5731,0.542829129,0.47291
15.12195122,22980,28.04043902,0,8.8,0.7026,0.264180264,0.558206
14.53143535,23190,87.03386714,623.3249,9.8,0.6604,0.290490916,0.539213
9.414615958,24600,91.19233678,711.7313,10.1,0.6518,0.732963622,0.347425
9.878614198,20830,44.59512593,400.6032,11,0.6395,0.287300865,0.512713
19.2687747,27170,74.01323013,294.33,11.3,0.546,0.261575466,0.551717
17.19322202,23350,26.82689467,0,19.7,0.7025,0.334781709,0.510488
9.68217048,20660,51.87357886,601.2545,10.6,0.5851,0.485551827,0.496025
7.038057425,21110,33.44867941,153.4116,6.2,0.733,0.694993998,0.321365
10.47595915,21180,80.82843399,1004.3683,4.7,0.4703,0.345092991,0.521993
18.22270471,21670,72.3652683,781.2404,13.1204,0.6289,0.200493305,0.505622
12.19365307,21890,72.09525362,787.3556,11.2,0.5588,0.552051763,0.456807
14.86602503,22110,67.60110253,696.414,14.9,0.6719,0.251427536,0.592076
13.04594441,22170,88.37046803,696.7531,12.2,0.5003,0.259991126,0.496747
18.65786241,22620,51.44520597,563.9843,11.6,0.5653,0.323124932,0.568754
7.74805391,22310,36.53625683,718.1236,6.9,0.5993,0.605264713,0.436999
10.63092712,22670,91.19233678,1110.08,7.2,0.4872,0.337755175,0.451241
17.30480777,22830,85.53118655,640.2962,12.1,0.5564,0.297256208,0.533413
13.1561373,22910,44.58731802,217.8556,11,0.641,0.357914514,0.469412
9.637676994,27260,70.02540412,729.9757,12,0.5333,0.318634333,0.5252
12.73285425,23270,73.42831752,777.2567,5.9,0.4991,0.275167785,0.534582
10.77759985,23110,60.0893814,746.523,11.3,0.5717,0.42811579,0.564967
8.170395754,23430,56.40339381,745.7971,9.4,0.6094,0.400741662,0.457917
7.259389447,26490,40.94584495,202.0632,16.284,0.7037,0.405913646,0.437246
8.028098344,24250,49.3047416,234.4592,17.1,0.7372,0.287275907,0.464291
8.957673819,24130,38.05868449,298.2479,10,0.647,0.358316948,0.534379
19.77626848,26430,41.27986416,175.3957,18.118,0.7195,0.270634921,0.575031
11.70160228,24330,105.8405674,984.9227,5.6,0.527,0.552003817,0.442241
6.588793986,24970,46.26056739,850.1481,8.9,0.6724,0.550419559,0.439812
17.64290755,25430,48.66724933,227.2595,6.1,0.697,0.373911397,0.496821
5.858157796,25710,31.19777515,204.3369,14.9,0.6519,0.43832309,0.414456
12.32692525,25900,89.5600273,328.0565,14.9,0.6295,0.667994296,0.377564
7.394046895,26350,75.02230571,265.6243,10.1179,0.6721,0.690737759,0.39511
16.19360353,26610,73.9893617,403.877,13.1094,0.6514,0.259382634,0.587611
12.03746572,26170,35.03606966,302.785,8.1,0.689,0.265717025,0.465445
11.76825588,26080,32.21243211,723.686,11.9264,0.7314,0.47386172,0.358023
