rank_membership_groups, registered_mental_health, perc_membership_groups, lga_code, perc_persons_not_physical, lga_name, total_offences, gaming_machine_losses, perc_at_risk_alcohol, lga, perc_pop_higher_education, perc_adolescents_bullied, perc_persons_overweight_obese
4.0,12.2234656107429,0.7427,22250,26.0969,"GANNAWARRA",55.8664026857192,165.8349,13.9,"GANNAWARRA",0.210084033613445,"NA",0.510165
23.0,7.9402029375562,0.6763,26980,25.8887,"WHITEHORSE",38.7651287971071,453.6777,8.8824,"WHITEHORSE",0.541612359452931,"3578.3%",0.46104
3.0,25.0413553134448,0.7441,26260,20.9095,"SOUTHERN GRAMPIANS",52.0784553077406,489.0196,16.4002,"SOUTHERN GRAMPIANS",0.295281582952816,"NA",0.592417
48.0,9.48266187857704,0.6331,24410,26.7304,"MAROONDAH",55.1508856095463,831.4869,10.4,"MAROONDAH",0.365910498834774,"4274.0%",0.480442
2.0,8.71269875844043,0.7679,26890,21.4392,"WEST WIMMERA",21.5270747113919,0.0,12.3842,"WEST WIMMERA",0.231472081218274,"NA",0.614828
32.0,5.00041949828006,0.6626,24210,28.4712,"MANNINGHAM",28.9538325362866,686.8253,5.2,"MANNINGHAM",0.523976131706966,"4095.6%",0.455692
16.0,13.8735614062746,0.7018,26670,21.318,"TOWONG",32.3810026801198,80.8267,11.6352,"TOWONG",0.256916996047431,"NA",0.567042
1.0,9.67558338076266,0.7807,21270,26.0478,"BULOKE",48.9025327262379,0.0,9.5,"BULOKE",0.281509916826615,"NA",0.597116
33.0,25.084196771997,0.662,24780,27.9279,"MILDURA",90.252654728822,603.4244,15.4,"MILDURA",0.278756385414832,"NA",0.569159
69.0,6.57516457468738,0.5517,21610,31.2431,"CASEY",53.3648152421781,625.3168,10.7357,"CASEY",0.269684936060039,"4815.4%",0.536367
9.0,14.0743087296918,0.722,21750,26.0895,"COLAC OTWAY",56.6846947549441,446.4532,11.7,"COLAC OTWAY",0.260473933649289,"NA",0.508186
17.0,14.0425003106748,0.6973,23940,23.5043,"LODDON",46.3840561700013,0.0,12.1,"LODDON",0.257767548906789,"NA",0.553671
22.0,27.2012800602381,0.6772,22410,31.6466,"GLENELG",69.0761729963763,418.2733,14.0,"GLENELG",0.241918879967058,"NA",0.589984
31.0,15.9587090650214,0.6663,25490,24.2216,"MOYNE",32.4581869957285,0.0,13.9,"MOYNE",0.284036972270797,"NA",0.519018
21.0,25.9221194472993,0.6837,21830,20.4531,"CORANGAMITE",35.28364736782,269.6331,16.4,"CORANGAMITE",0.258638473439917,"NA",0.548863
6.0,13.659049120042,0.7345,27630,21.4527,"YARRIAMBIACK",37.1039532440242,0.0,11.1,"YARRIAMBIACK",0.242550655542312,"NA",0.580476
