perc_individual_income, rank_primary_health_occasions, registered_mental_health, erp_2010_perc_25_44, erp_2010_perc_0_14, perc_low_english, new_settler, perc_membership_groups, perc_parents_schools, new_dwellings, erp_2010_perc_15_24, perc_population_good_facilities_services, erp_2010_perc_65_84, perc_multiculturalism, erp_2010__perc_85, lga_code, number_of_schools, erp_2010_perc_45_64, perc_pop_higher_education, perc_persons_overweight_obese,norms
0.536620393,14,12.22346561,0.220883188,0.19333735,0.003672757,111.9049669,0.7427,0.4331,1.205130412,0.106826203,0.7207,0.182749419,0.4926,0.026771111,22250,14,0.269432728,0.210084034,0.510165,0.585792282
0.445827272,68,7.940202938,0.283430168,0.170787706,0.048122815,762.7696958,0.6763,0.4135,9.164716162,0.137585541,0.9078,0.143765506,0.8464,0.026460965,26980,53,0.237970114,0.541612359,0.46104,0.748313021
0.484251655,28,25.04135531,0.215332839,0.183731675,0.002340766,102.675261,0.7441,0.5626,3.479550511,0.133306714,0.82,0.159032571,0.5955,0.032000456,26260,18,0.276595745,0.295281583,0.592417,0.47055241
0.422377943,57,9.482661879,0.284451801,0.180114465,0.01437191,262.7838252,0.6331,0.5358,4.535592713,0.1372461,0.94,0.124911158,0.7764,0.02109752,24410,35,0.252178955,0.365910499,0.480442,0.402975564
0.49851632,16,8.712698758,0.21084731,0.178610325,6.85E-04,0,0.7679,0.6324,1.306904814,0.109126552,0.6377,0.180135047,0.4983,0.025702461,26890,5,0.295578305,0.231472081,0.614828,0.549926699
0.43998678,74,5.000419498,0.248418491,0.162169645,0.056349349,455.5751321,0.6626,0.6214,6.040775233,0.13895461,0.8833,0.160827251,0.8227,0.020077188,24210,31,0.269552815,0.523976132,0.455692,0.625225792
0.530051009,78,13.87356141,0.191865048,0.173419518,0.001545595,0,0.7018,0.6694,3.468390352,0.105785906,0.6418,0.179725682,0.5371,0.033107362,26670,11,0.316096484,0.256916996,0.567042,0.522887579
0.588871412,30,9.675583381,0.206317587,0.187962436,0.001650165,14.22879909,0.7807,0.7814,1.5651679,0.096898122,0.6423,0.19052362,0.5996,0.03542971,21270,10,0.282868526,0.281509917,0.597116,0.599373153
0.504262166,33,25.08419677,0.255700536,0.21169737,0.016884178,103.0605297,0.662,0.5631,5.465888805,0.13292968,0.8361,0.128991295,0.6909,0.01897418,24780,34,0.25170694,0.278756385,0.569159,0.363210853
0.433699324,65,6.575164575,0.306893166,0.227122847,0.037764572,477.5892889,0.5517,0.3933,8.839900023,0.149413868,0.8744,0.076617682,0.7658,0.007838566,21610,74,0.23211387,0.269684936,0.536367,0.053382857
0.49719888,38,14.07430873,0.237815088,0.184233154,0.003690983,72.40801919,0.722,0.4319,5.837896547,0.130968005,0.7539,0.153459746,0.7397,0.022536996,21750,18,0.270987012,0.260473934,0.508186,0.63210024
0.601191489,17,14.04250031,0.194979495,0.177830247,0.003025918,149.1238971,0.6973,0.5448,3.355287685,0.089847148,0.4886,0.189635889,0.4769,0.032558718,23940,9,0.315148503,0.257767549,0.553671,0.440970351
0.496413298,11,27.20128006,0.23888183,0.178690762,0.001842008,47.06103817,0.6772,0.8182,3.85900513,0.12282931,0.7445,0.145748035,0.6663,0.023812885,22410,18,0.290037178,0.24191888,0.589984,0.344959995
0.472141823,5,15.95870907,0.236058377,0.205564784,0.001078022,17.7978168,0.6663,0.5689,7.356430944,0.120372568,0.7306,0.132831039,0.5934,0.022840532,25490,13,0.282332701,0.284036972,0.519018,0.136416735
0.48511031,1,25.92211945,0.226504511,0.20161014,0.001803707,62.80689734,0.6837,0.5414,2.512275894,0.110140459,0.7592,0.159929199,0.5626,0.023010163,21830,14,0.278805527,0.258638473,0.548863,0.496457831
0.561892767,3,13.65904912,0.189650644,0.163251904,0.001940402,91.93590754,0.7345,0.6517,1.182033097,0.098765432,0.6146,0.211715261,0.5468,0.035066982,27630,15,0.301549777,0.242550656,0.580476,0.516729637
0.49103297,52,12.51011018,0.352716159,0.163632506,0.088743094,696.7740225,0.5731,0.6182,8.949999337,0.133368249,0.783,0.127116509,0.8464,0.022096554,25250,45,0.201070022,0.542829129,0.47291,0.598117932
0.554033149,2,15.12195122,0.201300813,0.171707317,0.003214346,48.7804878,0.7026,0.5559,1.300813008,0.093333333,0.6612,0.204390244,0.55,0.049918699,22980,9,0.279349593,0.264180264,0.558206,0.251789224
0.470079255,8,14.53143535,0.248220641,0.194147885,0.002673201,143.3372875,0.6604,0.5491,5.8323448,0.126235666,0.8845,0.14714314,0.6929,0.023625939,23190,9,0.26062673,0.290490916,0.539213,0.522146731
0.41987425,76,9.414615958,0.422559864,0.059460187,0.047185948,1312.246251,0.6518,0.3987,65.17731378,0.322675864,0.8574,0.047601293,0.9081,0.008285691,24600,21,0.139417102,0.732963622,0.347425,0.310558138
0.488681412,36,9.878614198,0.23827497,0.195545304,0.003567745,51.25696046,0.6395,0.5053,16.61191491,0.135621258,0.808,0.138323897,0.5736,0.018685492,20830,38,0.273549079,0.287300865,0.512713,0.795662776
0.435298969,31,19.2687747,0.279808959,0.208525472,0.004604424,123.5177866,0.546,0.3882,8.563899868,0.159008564,0.913,0.100021959,0.7097,0.014300615,27170,17,0.238334431,0.261575466,0.551717,0.410000899
0.45979783,26,17.19322202,0.218484265,0.192849606,0.002258611,24.82775743,0.7025,0.7228,6.144869965,0.113711129,0.7904,0.140959593,0.6852,0.017813916,23350,18,0.316181491,0.334781709,0.510488,0.509367249
0.428829199,37,9.68217048,0.285724634,0.172041626,0.023824826,327.5680287,0.5851,0.5749,4.072467384,0.135502097,0.9169,0.129063413,0.8025,0.024145064,20660,44,0.253523167,0.485551827,0.496025,0.518044064
0.37277803,79,7.038057425,0.272437126,0.171774617,0.028466128,564.578454,0.733,0.5281,4.902452406,0.162730743,0.9506,0.111889185,0.847,0.027532786,21110,59,0.253635543,0.694993998,0.321365,0.35054584
0.535936377,42,10.47595915,0.297683039,0.190167172,0.134651868,694.3491071,0.4703,0.5161,4.878924525,0.153712524,0.7771,0.100809986,0.8144,0.011336635,21180,59,0.246290645,0.345092991,0.521993,0.027397364
0.628702813,61,18.22270471,0.196417494,0.17075062,0.002000333,23.2630273,0.6289,0.5258,6.048387097,0.1055366,0.7795,0.211073201,0.5524,0.030164392,21670,8,0.286057692,0.200493305,0.505622,0.196008556
0.499979207,40,12.19365307,0.345262472,0.160699736,0.091493248,621.3732562,0.5588,0.6162,7.007276515,0.133124083,0.8985,0.125996358,0.8283,0.021992504,21890,42,0.212924847,0.552051763,0.456807,0.597838298
0.555984942,6,14.86602503,0.205639149,0.170394469,0.002916971,90.37097284,0.6719,0.5006,9.827843297,0.111698522,0.757,0.194094257,0.5646,0.024739054,22110,37,0.293434549,0.251427536,0.592076,0.503682381
0.451244813,67,13.04594441,0.284006071,0.190208643,0.011130206,177.8295596,0.5003,0.5258,9.489353222,0.145084392,0.8984,0.115527893,0.7483,0.017369042,22170,42,0.247803958,0.259991126,0.496747,0.83526458
0.497239576,72,18.65786241,0.254376536,0.192279638,0.002693318,126.6891892,0.5653,0.5654,9.45370086,0.150145885,0.755,0.128291999,0.57,0.02080774,22620,51,0.254098203,0.323124932,0.568754,0.278347611
0.405350641,55,7.74805391,0.312006216,0.173543337,0.036957234,716.7131405,0.5993,0.5944,6.949285465,0.128739689,0.9467,0.117310038,0.9011,0.030759847,22310,40,0.237640874,0.605264713,0.436999,0.648043947
0.553536152,46,10.63092712,0.289438358,0.187488272,0.169488493,1298.373244,0.4872,0.3896,5.990271222,0.144719179,0.7765,0.123356284,0.7813,0.01723466,22670,42,0.237763247,0.337755175,0.451241,0.109685669
0.475918791,15,17.30480777,0.259082656,0.208652404,0.024171296,333.1491277,0.5564,0.4464,6.205099866,0.142369938,0.8237,0.122286256,0.7044,0.018520565,22830,43,0.249088182,0.297256208,0.533413,0.643404471
